summonerId,summonerLevel,tier,rank,leaguePoints,plays,wins,mostPositionId,mostPosition,mostChampionIds
4beKjmVpTBP5vNXZRMgCx49CsgxWk0pIIk9QEoJoLIjP4amoVoHV_N_S5w,175,CHALLENGER,I,1087,807,429,3,MIDDLE,"[61, 126, 84, 777, 134]"
9uf8WsQxeA6l_ELbFk-DItArT9I9RlQ796cI3Q7YQTd1fCYcvJ8eTmD21Q,101,CHALLENGER,I,1087,666,361,4,BOTTOM,"[236, 145, 110, 222, 18]"
DQdLUu9671NT2Bi9SaK6M3NZQ3TX0ycb893sGTM1SPCJcLE,458,CHALLENGER,I,1082,422,241,1,TOP,"[24, 897, 58, 68, 150]"
_DXDZZDi5VXBBJl3e8amldAtxFWjWFQFGFoL7hj-xh8m8iE,555,CHALLENGER,I,1079,545,299,2,JUNGLE,"[64, 234, 104, 115, 59]"
UM3l7LvHUGVwF6TvoJvlLp_oKQGgfeag1M2hHZHgFVxm_5M,490,CHALLENGER,I,1077,689,378,3,MIDDLE,"[126, 61, 134, 84, 777]"
kxrAvmGtGtWbWmZ7Exj9UE00bmnQ1jtkOHviBckfsRHylV0,436,CHALLENGER,I,1077,778,414,3,MIDDLE,"[61, 268, 126, 18, 7]"
p5uDhM9n4AZaXNzOe24oWWeuJ5Aj6xGin7c17NcB8GXJo4Q,340,CHALLENGER,I,1068,436,242,3,MIDDLE,"[157, 777]"
y_xfRqKfV_MVZd0dbftL3Kxh6DgetgtAn_iq5mauPl6PLJEIvYuf4RJnXA,49,CHALLENGER,I,1068,198,132,3,MIDDLE,"[157, 777]"
qSebg8XaDhKhxUXfOqol3hxsqOPue2t8Qex6eHxZC0IQzco,164,CHALLENGER,I,1067,1326,684,3,MIDDLE,"[268, 18, 777, 7, 127]"
6csdf4ojgdOi3-IqmOWyB0z2zIow4om0gHiz_jbC7sN5_Q,1061,CHALLENGER,I,1066,745,399,1,TOP,"[58, 78, 150, 33, 516]"
5Rj94-AodeDsyX3rwZh1MPAEqzvakwLa-1ChdNqvVEMUow8,844,CHALLENGER,I,1063,727,393,5,UTILITY,"[497, 888, 526, 555, 111]"
IwpQrTkcxZ9-X2gO5YvKuZ5gDXmQDDKjG2dpCQPd1NYaurAMYmhTl7jS9A,47,CHALLENGER,I,1063,205,123,5,UTILITY,"[40, 235, 22, 888, 202]"
nccBfC04ptHUhL257FnjvEQH4x7AmOy7FCVSiQ7fBp5hY9M,308,CHALLENGER,I,1061,636,341,3,MIDDLE,"[518, 61, 517, 126, 84]"
giFLOFW8hKUiaXdADcZbUhGk6eZCbnbEFQiJXhy-eoCg0Es,586,CHALLENGER,I,1060,607,331,1,TOP,"[68, 24, 58, 266, 150]"
5BZ_YGxvuSiOIqg0LbBs1h0XOyBtWVlLW5Q4inqnosOPjAac12BFOOWVoQ,110,CHALLENGER,I,1059,799,440,3,MIDDLE,"[111, 126, 134, 711, 127]"
Xt_BIxcK4PfsVd8BfC7j44dQ6knBHYpxs8pRDgZpkBXCgdIgR1mWW2LZtg,538,CHALLENGER,I,1059,393,221,2,JUNGLE,"[76, 64, 234, 81, 104]"
